intent,query,Promotions,Card Promotions,Open Account,OCBC Singapore Account,OCBC Securities Account ,OCBC Malaysia Account,NISP Account,Card Cancellation,Cancel Credit or Debit Card,Cancel ATM Card,Speak with a customer service officer,Request for sponsorship,Repricing,Auto Loan,Home Loan,Service Fee,Token Replacement,Token Activation,Hardware Token,Onetoken,Late fee waiver,Credit card interest waiver,Request for account fee waiver,Uplift suspension on accounts,Loan Enquiry,Home and property loans,Personal Loans,365 Card Application,Paying a cancelled credit card,How to close my account,Credit card transaction dispute,Change credit card limit,Increase credit card limit,Decrease credit card limit,Credit card application rejection,Rebates,How to redeem rewards,360 Account interest dispute,Statement Request,Passbook savings account statement,Credit card statement,Debit card statement,Investment account statement,Update details
Promotions,promotion -PRON- ?,0.05439687715534691,0.1505609448252152,0.8525555017520596,0.8883801539965142,0.8532216342153602,0.8540533780697577,0.8252399768140289,0.7787864673954317,0.792052142722118,0.8232803031529852,0.8695235351326536,0.6368325682763049,0.8871493405132556,0.891845164692145,0.9026723558533429,0.8385516337406835,0.8375426331762047,0.8184330848106013,0.8323630885501431,0.7411365361582531,0.8260956055834978,0.7622395399515399,0.8418280197437771,0.8284086320506554,0.8193957026823665,0.8722243032376591,0.8018064635930916,0.7628104488647908,0.8112857469002241,0.9263859618928045,0.7583463461843868,0.8253261633309315,0.8065922190371833,0.8835528147142129,0.7549520874418855,0.7158965540064003,0.7878833030776301,0.7149588301137859,0.8651702043873388,0.8299892550036497,0.7980314394180409,0.86106763737353,0.8247322415857943,0.9137223520377342
Promotions,promotion available ?,0.3983142383255085,0.36740244984663684,0.7911265138671709,0.828506224671439,0.7990170066508525,0.7850151307901029,0.7208756564805527,0.8329022111308746,0.7647084452207447,0.8413022539680073,0.7992685102364189,0.703736781315961,0.8219774991967937,0.8384405628770404,0.8351851913134047,0.7047357839338664,0.7801658457297544,0.7605942974006837,0.7847571393090413,0.7282434370982,0.7489496451051434,0.7536157814893257,0.7932355755756236,0.7138647500867721,0.6894302667690677,0.8646544297642905,0.7712219656652237,0.6234286506760646,0.8033913318654373,0.8848495220007295,0.7582016877182909,0.7843049957961225,0.7687501546161734,0.8376869847014801,0.7019480752385234,0.7213648548493878,0.8233704852610082,0.7087536310915863,0.7373451700610779,0.740766768534199,0.7868621030863858,0.7907346029647906,0.8192489769096295,0.7560761497156906
Promotions,promotion,0.05439687715534691,0.1505609448252152,0.8525555017520596,0.8883801539965142,0.8532216342153602,0.8540533780697577,0.8252399768140289,0.7787864673954317,0.792052142722118,0.8232803031529852,0.8695235351326536,0.6368325682763049,0.8871493405132556,0.891845164692145,0.9026723558533429,0.8385516337406835,0.8375426331762047,0.8184330848106013,0.8323630885501431,0.7411365361582531,0.8260956055834978,0.7622395399515399,0.8418280197437771,0.8284086320506554,0.8193957026823665,0.8722243032376591,0.8018064635930916,0.7628104488647908,0.8112857469002241,0.9263859618928045,0.7583463461843868,0.8253261633309315,0.8065922190371833,0.8835528147142129,0.7549520874418855,0.7158965540064003,0.7878833030776301,0.7149588301137859,0.8651702043873388,0.8299892550036497,0.7980314394180409,0.86106763737353,0.8247322415857943,0.9137223520377342
Promotions,-PRON- want promotion,0.10967357206480022,0.180679663429127,0.7072545359804341,0.7595808217877609,0.7530568028022064,0.782716332072132,0.6560110233429193,0.6912496395664528,0.6392679696350951,0.7704736396822718,0.6662392355853874,0.5918832857669976,0.8060586837389405,0.8021389891152391,0.7979770194739421,0.722439978715808,0.6674757905120472,0.7251934974803671,0.7534573072730548,0.6870587334958922,0.7220470048445925,0.6576671866649506,0.7112203135499446,0.6657552341015148,0.6227105052554118,0.7641085113785326,0.680945263232103,0.6087936671431596,0.7084031890119461,0.8017563987588547,0.6588184603696773,0.6781778488067445,0.655141780986431,0.7950455937791796,0.6527581787843382,0.6509959994336485,0.7533035670229,0.63670424924798,0.7034618367100518,0.6640489234159357,0.6754672519352327,0.7466084150257761,0.7271088561293422,0.804883150358167
Promotions,view promotion,0.3102397246733828,0.30752548112966305,0.7011312933573093,0.7415876681470733,0.7078593602861847,0.7295849689106367,0.6719879889106761,0.7673571202444682,0.7390256748003055,0.8012554299958815,0.7823665808386088,0.7042872735060208,0.7998408302437429,0.7971416924473034,0.7910394576873891,0.7480537151493178,0.8011818403544934,0.8002668183448743,0.8219275143706886,0.7503267285241826,0.7938495436977259,0.6774715262234496,0.7252930348586343,0.6869334518005026,0.7541640136399016,0.8049889558170205,0.756695230521038,0.7149356859187687,0.7546640152406795,0.7966994691751821,0.6879836403360753,0.7596977670585817,0.7415763098996132,0.8218736141455544,0.6849191007932615,0.6575827006443814,0.7361200670789596,0.6175890424701498,0.7314954073616211,0.7399084720015061,0.6430899154173693,0.7547068190847035,0.742062775510075,0.7874322544212664
Promotions,-PRON- promotion,0.05439687715534691,0.1505609448252152,0.8525555017520596,0.8883801539965142,0.8532216342153602,0.8540533780697577,0.8252399768140289,0.7787864673954317,0.792052142722118,0.8232803031529852,0.8695235351326536,0.6368325682763049,0.8871493405132556,0.891845164692145,0.9026723558533429,0.8385516337406835,0.8375426331762047,0.8184330848106013,0.8323630885501431,0.7411365361582531,0.8260956055834978,0.7622395399515399,0.8418280197437771,0.8284086320506554,0.8193957026823665,0.8722243032376591,0.8018064635930916,0.7628104488647908,0.8112857469002241,0.9263859618928045,0.7583463461843868,0.8253261633309315,0.8065922190371833,0.8835528147142129,0.7549520874418855,0.7158965540064003,0.7878833030776301,0.7149588301137859,0.8651702043873388,0.8299892550036497,0.7980314394180409,0.86106763737353,0.8247322415857943,0.9137223520377342
Promotions,-PRON- promotion,0.05439687715534691,0.1505609448252152,0.8525555017520596,0.8883801539965142,0.8532216342153602,0.8540533780697577,0.8252399768140289,0.7787864673954317,0.792052142722118,0.8232803031529852,0.8695235351326536,0.6368325682763049,0.8871493405132556,0.891845164692145,0.9026723558533429,0.8385516337406835,0.8375426331762047,0.8184330848106013,0.8323630885501431,0.7411365361582531,0.8260956055834978,0.7622395399515399,0.8418280197437771,0.8284086320506554,0.8193957026823665,0.8722243032376591,0.8018064635930916,0.7628104488647908,0.8112857469002241,0.9263859618928045,0.7583463461843868,0.8253261633309315,0.8065922190371833,0.8835528147142129,0.7549520874418855,0.7158965540064003,0.7878833030776301,0.7149588301137859,0.8651702043873388,0.8299892550036497,0.7980314394180409,0.86106763737353,0.8247322415857943,0.9137223520377342
Promotions,let -PRON- -PRON- promotion,0.3438346207396459,0.3195189619966672,0.6543616955345839,0.6792339817063886,0.7152190417806343,0.7223457302039746,0.6005578687128486,0.672762651561229,0.5843306299360066,0.7307734101120609,0.6215719051088089,0.6705126874522402,0.7729580364930979,0.7543623733867657,0.7431433002031198,0.7196741369190767,0.6431984541493722,0.6457057191864609,0.7038241978226151,0.6585751827276562,0.6912299894274931,0.6898481383542537,0.7007030209556881,0.5886506028695235,0.597796703021023,0.7613977882033364,0.6854959796187281,0.6120454608188264,0.6654493688776183,0.691440889378921,0.6715045788619938,0.6325645406755662,0.6534826433482638,0.7646838109366593,0.6611399098656849,0.6980004641197944,0.7240173581289858,0.7049174502455,0.7286066313618308,0.6506891411850251,0.6791439696189301,0.763887090184981,0.7690431114156593,0.7717580911140117
Promotions,promotion,0.05439687715534691,0.1505609448252152,0.8525555017520596,0.8883801539965142,0.8532216342153602,0.8540533780697577,0.8252399768140289,0.7787864673954317,0.792052142722118,0.8232803031529852,0.8695235351326536,0.6368325682763049,0.8871493405132556,0.891845164692145,0.9026723558533429,0.8385516337406835,0.8375426331762047,0.8184330848106013,0.8323630885501431,0.7411365361582531,0.8260956055834978,0.7622395399515399,0.8418280197437771,0.8284086320506554,0.8193957026823665,0.8722243032376591,0.8018064635930916,0.7628104488647908,0.8112857469002241,0.9263859618928045,0.7583463461843868,0.8253261633309315,0.8065922190371833,0.8835528147142129,0.7549520874418855,0.7158965540064003,0.7878833030776301,0.7149588301137859,0.8651702043873388,0.8299892550036497,0.7980314394180409,0.86106763737353,0.8247322415857943,0.9137223520377342
Card Promotions,card promotion -PRON- ?,0.1505742908581682,0.03327603456680417,0.7245884297253238,0.7709488018227839,0.7887554282076735,0.7781915744873622,0.7031101599851383,0.5531977868575213,0.5158879792898398,0.5956097594494212,0.8445944286363223,0.6357313484214924,0.8350229752380653,0.8236870788291375,0.8476723802097997,0.7521089709307527,0.7334143344601715,0.7073432740413484,0.7054761525104594,0.6578188493205616,0.7128211650210742,0.5781706093874397,0.7101276692423011,0.7394655090141585,0.7416584699359929,0.8133795251862743,0.7144938909120493,0.5344485872920046,0.607761170561837,0.805141361622973,0.5657685795617232,0.6476225836009715,0.6502850727176464,0.7074687056154887,0.5606950331694444,0.5730052246072517,0.7338319227487092,0.6592129859907627,0.7591125014405442,0.7054216423894997,0.5508217116017409,0.5936128929934581,0.7883431275144355,0.8365519842128525
